Platform,Post ID,Post Type,Post Content,Post Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement Rate,Audience Age,Audience Gender,Audience Location,Audience Interests,Campaign ID,Sentiment,Influencer ID
LinkedIn,d49dadb4-fc1e-4775-88ad-d60b75cf5123,Video,Want that according same wish.,2021-04-23 08:19:49.255,415,77,85,2619,1842,31.32,29,Other,United Kingdom,respond,,Negative,
Instagram,16ce29c5-2dc7-478f-9814-a86754f3ce8b,Video,Increase fast partner south.,2023-07-30 06:40:06.356,908,125,85,1223,3884,28.78,48,Male,Greece,population,,Neutral,
Instagram,6a6cc741-72f4-4111-95a0-c5ee04a175a8,Video,Lawyer behavior born window couple sister.,2021-12-05 03:56:53.212,412,419,58,2165,849,104.71,55,Male,United States Virgin Islands,himself,,Neutral,
Twitter,0b5a3e70-c556-43cb-ad4f-a1d0003348bc,Image,Street great decade must.,2021-09-28 20:39:00.228,667,153,29,7191,3519,24.13,54,Other,Zambia,safe,,,
Facebook,a7d3e958-e2fe-411e-a24a-b96e821fc050,Link,At clear meeting with reason ground continue contain.,2023-02-27 17:51:21.425,659,215,34,3312,2032,44.69,33,Other,Afghanistan,well,6052b8d2-3403-4447-b0b4-c5ce20e6c8d0,,
Facebook,0922ea18-ea90-4302-b126-bd95f85a0926,Video,Vote American state change simply cup.,2021-11-23 08:32:30.081,510,438,110,3871,2667,39.67,59,Female,Djibouti,she,2b568bef-54b5-43e2-a5f7-c1ae802b0547,Neutral,
Instagram,0510219c-c413-4203-a9c6-e176a299ce10,Link,Community seek Republican cold though ability understand event.,2022-09-28 06:32:05.117,874,239,91,5681,1553,77.53,41,Other,Jamaica,family,,Neutral,
LinkedIn,c394636e-4e5c-4453-b096-597e530bd4eb,Link,Win guess me report true.,2023-07-27 06:32:01.558,627,135,90,9436,1498,56.88,63,Other,Gibraltar,keep,,Neutral,
LinkedIn,75142995-8ed2-419d-9632-72a0b631175b,Link,Action other would side.,2023-01-04 16:22:21.076,1000,378,94,8539,3695,39.84,23,Male,Estonia,number,,,
Twitter,aeaed62e-bfa7-4f81-aea7-3ce2413ac473,Video,Usually personal small create.,2021-07-18 07:55:37.140,573,135,8,6769,2508,28.55,46,Other,Guatemala,main,,Positive,
Facebook,a30c948b-0fb3-4e92-95da-e2dea184f568,Link,Floor glass bring indicate seem detail.,2022-06-19 14:15:59.833,604,29,2,1386,1831,34.68,33,Female,Lao People's Democratic Republic,attorney,98705a1e-2573-4cb8-983b-2112d4b140c9,,
Twitter,aee74d06-c775-459c-8fc4-013ce25644f1,Image,Customer stop language everybody rest chance me.,2022-06-04 06:19:50.404,288,230,56,2516,3927,14.62,23,Other,Jordan,affect,,Positive,
Instagram,80415748-a509-4fc6-8b55-74f2babe5dac,Image,Town find identify game your.,2022-05-12 15:41:21.902,870,92,15,1377,4829,20.23,48,Male,Sudan,money,6b15bf9b-14cc-4ab9-9168-56322057b61e,Positive,
Instagram,4455db75-4f0c-4781-b2bc-92534300689b,Link,Reduce theory upon else someone significant which century.,2022-03-14 00:27:10.505,322,195,146,7970,3477,19.07,47,Female,Nepal,however,,Negative,
Twitter,224cc707-0522-41ce-a614-59ff5a958ac4,Image,Head story away lot government last skin him.,2023-08-01 20:46:36.224,387,30,55,4249,2901,16.27,63,Male,Kazakhstan,message,,,
Twitter,5bd6ec09-6522-43c5-9e80-d0a027a27387,Image,Machine language mention between view meeting eye.,2022-02-05 12:47:41.156,416,271,44,3250,2101,34.79,24,Female,Macao,rest,d69e6171-e44b-4588-b52e-2816900af9bc,,
Facebook,155695e8-1195-46bb-b5c3-0d93d8ecbb23,Link,Ground board after read.,2023-11-08 14:06:20.097,632,267,58,4463,3020,31.69,33,Male,United States Minor Outlying Islands,page,,Neutral,
Facebook,11e4a8bf-1afe-468b-81e0-bbfe18cd4e22,Video,Friend education author care evidence.,2023-03-30 16:18:46.586,759,95,21,3135,2284,38.31,57,Female,Armenia,natural,,,
Instagram,12ed0666-b7ef-41ba-95e0-301508cefb74,Link,Half see campaign many door increase animal.,2021-11-08 16:18:39.304,210,49,86,9224,3443,10.02,65,Female,Slovakia (Slovak Republic),north,,Neutral,
Twitter,4b98c0d9-4930-4d90-9608-dbbdfb5ad4cd,Link,Market challenge something side issue animal that stuff.,2021-08-17 04:23:04.276,843,302,140,5753,678,189.53,56,Other,Oman,speech,,Negative,
Facebook,c5799bc4-30fc-4323-a871-30137bac0810,Link,Game painting interesting travel experience dinner mission.,2023-02-02 15:52:12.950,872,169,21,6165,1726,61.53,35,Other,China,focus,9735cf39-7657-484c-88ab-1e2bb79c7de7,Negative,
Instagram,536441ad-4b93-4ad0-8dc3-fea0d05b1e0a,Image,Themselves evidence rate husband fact.,2022-05-03 19:33:24.457,807,325,194,3399,668,198.5,49,Other,Sierra Leone,evidence,,,
Twitter,bde31374-daa4-4821-babf-2770d901f0ac,Image,Market skill physical.,2023-01-28 18:40:47.735,252,70,117,9801,2192,20.03,32,Other,New Zealand,others,,Positive,
Twitter,c7cdb682-265f-4823-a033-2a0bd88c8c3d,Video,Subject structure role who themselves.,2022-09-16 04:22:21.473,915,489,89,8910,3579,41.72,57,Other,Latvia,green,,Positive,aca49940-8445-483f-9ab8-0db0167bb2db
Instagram,ffb7d4f4-7616-457e-b40f-bb9f9c579ad8,Link,Sense despite hair way air if rise.,2023-09-29 17:26:21.870,266,207,37,9118,707,72.14,23,Other,Costa Rica,popular,1675517b-a4f0-4dd6-9607-cf40068e1179,Negative,
